英雄,关键词,胜率,图片链接,本月使用人数,本月使用人数排名,热门物品,技能,天赋
美杜莎,medusa,46.0387,http://cdn.max-c.com/app/dota2/medusa@3x.png,1169920,75,"['怨灵系带', '斯嘉蒂之眼', '幻影斧', '相位鞋', '动力鞋', '蝴蝶', '魔龙枪', '漩涡', '雷神之锤']","['[分裂箭 ] 美杜莎施展魔法将她的箭分裂成若干支箭矢。分裂箭造成的伤害为正常攻击力的一定百分比。  额外目标不会受到其他攻击特效（比如致命一击）的作用。  tips: 次级目标将是除了主要目标外距离最近的敌方单位。 如果在分裂箭开启的状态下创造幻象，幻象也将继承此技能。 ', '[秘术异蛇 ] 放出一条秘术异蛇在敌人之间跳跃，造成伤害并偷取魔法值。抵达最后一个目标后，它会返回到美杜莎身上为其恢复魔法值。每次跳跃造成更多伤害，并偷取11 14 17 20%最大魔法值的魔法。对石化凝视作用下的石化单位将造成纯粹伤害。  可用神杖升级。  tips: 秘术异蛇无法躲避。 ', '[魔法护盾 ] 创造一个魔法护盾，消耗美杜莎的魔法值以吸收60%的伤害。  tips: 伤害的吸收先于任何伤害减免机制，所以提高物理护甲，物理格挡和魔法抗性都不能减少吸收相同伤害所需的魔法。 ', '[石化凝视 ] 任何盯着蛇发女妖的敌方单位的攻击速度和移动速度均将被减缓。如果一单位在石化凝视期间盯着蛇发女妖超过2秒，该单位会被完全石化。被石化的单位处于眩晕状态，受到物理攻击时承受额外伤害。  tips: 效果无视技能免疫。 无论敌方单位是在美杜莎施放技能期间的何时受到石化凝视作用，他受到的技能效果都是满额的持续时间。 ']","['天赋1：', '15% 闪避', '+15 攻击力', '天赋2：', '+25% 秘术异蛇魔法窃取', '+30 攻击速度', '天赋3：', '+2.5秒 石化凝视持续时间', '-4秒 秘术异蛇冷却', '天赋4：', '分裂箭继承攻击特效', '+1000 魔法']"
巨魔战将,troll_warlord,47.7464,http://cdn.max-c.com/app/dota2/troll_warlord@3x.png,1516435,61,"['相位鞋', '黑皇杖', '怨灵系带', '散夜对剑', '吸血面具', '净魂之刃', '碎颅锤', '弗拉迪米尔的祭品', '金箍棒']","['[狂战士之怒 ] 激活后巨魔战将从远程形态变成近战进行攻击。近战攻击时将有几率触发诱捕，阻止目标移动或使用移动类技能。狂战士之怒还将提供额外的移动速度，护甲和更快的攻击速度。  狂战士之怒激活后会改变旋风飞斧的作用机制。  tips: 幻影斧的冷却时间根据巨魔战将在使用物品时处于远程或近战形态而定。 不与碎颅锤叠加。 幻影斧的冷却时间将由巨魔战将开启幻影斧时所处的近战或远程形态决定。 ', '[旋风飞斧（远程） ] 巨魔战将掷出手中的五把飞斧，减速并伤害前方900范围锥形区域内的敌方单位。 ', '[旋风飞斧（近战） ] 巨魔战将掷出两把飞斧环绕在他周围，使敌方单位受到伤害，并且部分普通攻击将不能命中。 ', '[热血战魂 ] 当巨魔战将持续攻击同一个目标时，他会攻击得越来越快。如果改变目标，则额外的攻速加成清零。 ', '[战斗专注 ] 巨魔战将释放出强大的战斗专注，强迫自身持续攻击900距离内最近的敌方单位，以英雄优先。专注期间不会因伤害而阵亡。提供额外吸血，攻击速度和移动速度。施放时施加弱驱散。   可用神杖升级。  tips: 对幻象无效。 ']","['天赋1：', '+250 生命', '+10 敏捷', '天赋2：', '+90 旋风飞斧伤害', '+3 热血战魂叠加上限', '天赋3：', '+40 攻击力', '25% 闪避', '天赋4：', '战斗专注带强驱散', '-6秒 旋风飞斧冷却']"
半人马战行者,centaur,49.5465,http://cdn.max-c.com/app/dota2/centaur@3x.png,1245657,69,"['闪烁匕首', '赤红甲', '洞察烟斗', '刃甲', '静谧之鞋', '相位鞋', '魔杖', '先锋盾', '恐鳌之心']","['[马蹄践踏 ] 猛踏地面，眩晕并伤害身边的敌方单位。 ', '[双刃剑 ] 半人马战行者以猛烈的力量进行近战攻击，对目标周围单位和自身造成伤害。将基于力量值造成额外伤害。此技能无法用于自杀。  tips: 双刃剑对目标和自身都造成魔法伤害。 ', '[反伤 ] 半人马战行者向攻击他的单位发出反击，对攻击者造成伤害。每次受到敌方英雄或防御塔攻击时都会获得能量。可以开启，消耗所有能量，使基础攻击力获得一定百分比的提升，持续20秒。  tips: 反伤会在受到攻击时触发。 反伤能对防御塔造成伤害。 防御塔的一次攻击将被视为半点能量。 ', '[奔袭冲撞 ] 半人马战行者带领所有队友向胜利冲锋，所有友方英雄达到极限移动速度，并使踩到的敌人停滞。每个敌人只会受到一次踩踏作用，并受到基于半人马战行者力量值的伤害。  可用神杖升级。  tips: 对技能免疫单位无效。 ']","['天赋1：', '+20 移动速度', '10% 闪避', '天赋2：', '+50% 双刃剑力量伤害', '+30 基础攻击力', '天赋3：', '+20 力量', '+80 反伤伤害', '天赋4：', '+1.5秒 马蹄践踏眩晕', '反伤变成光环']"
马格纳斯,magnataur,45.6031,http://cdn.max-c.com/app/dota2/magnataur@3x.png,831378,96,"['闪烁匕首', '奥术鞋', '魔杖', '原力法杖', '圆盾', '压制之刃', '影刃', '黑皇杖', '魔瓶']","['[震荡波 ] 马格纳斯放出一道能量波，对一条直线上的敌方单位造成伤害，并将他们朝自身牵引。  可用神杖升级。 ', '[授予力量 ] 给予一个友方单位额外攻击力并且使其获得分裂攻击的能力。  tips: 攻击力加成根据基础攻击力和主属性加成计算。 分裂伤害会根据护甲类型有所减少，但是与护甲数值无关。 分裂伤害无视技能免疫。 远程单位的攻击没有分裂效果。 ', '[巨角冲撞 ] 马格纳斯向前冲刺，用他巨大的犀角将敌人挑起。被击中的英雄将被拽至终点，然后受到伤害，并且移动速度和攻击速度被降低。  tips: 不能作用于技能免疫单位。 ', '[两极反转 ] 马格纳斯改变物质的属性，将附近的敌人都拖拽到他的前方，并且以强力的震击对他们造成伤害和眩晕。  tips: 眩晕和牵引效果无视技能免疫。 ']","['天赋1：', '+200 生命', '+25 攻击速度', '天赋2：', '+75 震荡波伤害', '+12 力量', '天赋3：', '+500 巨角冲撞距离', '+10 护甲', '天赋4：', '+1秒 两极反转眩晕', '+20% 授予力量攻击力/分裂']"
伐木机,shredder,47.2181,http://cdn.max-c.com/app/dota2/shredder@3x.png,1388424,64,"['血精石', '奥术鞋', '魔杖', '洞察烟斗', '灵魂之戒', '刃甲', '圆盾', '清莲宝珠', 'Eul的神圣法杖']","['[死亡旋风 ] 伐木机使极其锋利的刀刃飞旋，对敌人造成伤害并摧毁他周围的树木。如果敌方英雄受到了作用，他的主要属性将在短时间内降低少许。如果该技能施放过程中砍倒了树木则会根据砍倒的数量造成额外伤害。 ', '[伐木锯链 ] 伐木机发射一条锯链，锯链会嵌入第一棵碰到的树里，然后将他拉向那棵树。行进过程中任何碰到的敌方单位都会受到伤害。 ', '[活性护甲 ] 伐木机每受到一次物理攻击，他的生命恢复和护甲值都会提升。 ', '[锯齿飞轮 ] 伐木机将次锯刃射向目标区域，锯刃会高速旋转，对周围的敌方单位造成伤害。在锯刃作用范围内的敌方单位每损失最大生命值的5%，他们的移动速度都会进一步被降低。锯刃在发射和收回的过程中都将造成伤害并砍倒碰到的树木。在发射锯刃后伐木机将无法攻击，同时会持续消耗魔法。  tips: 如果伐木机魔法不足或移动超过2000码，锯齿飞轮将会飞回。 ', '[锯齿飞轮 ] 伐木机将主锯刃射向目标区域，锯刃会高速旋转，对周围的敌方单位造成伤害。在锯刃作用范围内的敌方单位每损失最大生命值的5%，他们的移动速度都会进一步被降低。锯刃在发射和收回的过程中都将造成伤害并砍倒碰到的树木。在发射锯刃后伐木机将无法攻击，同时会持续消耗魔法。  可用神杖升级。  tips: 如果伐木机魔法不足或移动超过2000码，锯齿飞轮将会飞回。 ', '[收回锯齿飞轮 ] 让伐木机收回锯齿飞轮。 ', '[收回锯齿飞轮 ] 让伐木机收回锯齿飞轮。 ']","['天赋1：', '+2.5 魔法恢复', '+225 生命', '天赋2：', '+8 活性护甲叠加', '+10% 技能增强', '天赋3：', '15% 冷却时间减少', '+20 力量', '天赋4：', '+1400 伐木锯链距离', '+12% 死亡旋风属性降低']"
钢背兽,bristleback,49.8933,http://cdn.max-c.com/app/dota2/bristleback@3x.png,3023966,21,"['刃甲', '赤红甲', '动力鞋', '洞察烟斗', '先锋盾', '魔杖', '恐鳌之心', '相位鞋', '辉耀']","['[粘稠鼻液 ] 用鼻涕包裹一个敌方单位，降低他的移动速度，减少他的护甲。多次施放效果会叠加，同时持续时间以最后一次为准。  可用神杖升级。 ', '[刺针扫射 ] 将尖刺喷射向敌人，对钢背兽附近的敌人造成伤害。任何单位最近14秒内每次受到刺针扫射的打击都会受到额外伤害。  tips: 刺针扫射的伤害不能被伤害格挡类技能减免。 ', '[钢毛后背 ] 如果伤害来自钢背兽的侧面或者背后，他将会受到较少的伤害。钢毛后背每吸收210点伤害会自动释放一次当前等级的刺针扫射。  tips: 钢背兽的背面是以背部中心点为原点，向左向右各呈70度角的扇形区域。 钢背兽的侧面是以背部中心点为原点，向左向右各呈110度角的扇形区域，背面的扇形区域不算在内。 ', '[战意 ] 钢背兽在使用技能的时候会进入狂暴的状态，移动速度和攻击力都将提升。  tips: 钢背兽的幻象也能继承技能效果。 使用物品不会触发战意。 ']","['天赋1：', '+3 魔法恢复', '+20 移动速度', '天赋2：', '+6 鼻液叠加上限', '+250 生命', '天赋3：', '+25 刺针叠加伤害', '+25 生命恢复', '天赋4：', '+30 战意叠加攻击力', '15% 技能吸血']"
巨牙海民,tusk,45.4509,http://cdn.max-c.com/app/dota2/tusk@3x.png,1189961,74,"['相位鞋', '魔杖', '黯灭', '闪烁匕首', '淬毒之珠', '魂之灵瓮', '奥术鞋', '影刃', '护腕']","['[寒冰碎片 ] 巨牙海民将数块寒冰碎片压缩成蕴含冰冻能量的冰球，对所有接触到冰球的敌人造成伤害。如果冰球到达目标地点时，则产生一个障碍物，持续4 5 6 7秒。  tips: 将创造不可通行的障碍。 ', '[雪球 ] 巨牙海民开始卷成雪球。右键点击350范围内的友方英雄能使其加入雪球。发动雪球后，雪球经过的单位将会被眩晕并受到伤害。雪球每卷入一个英雄，它的伤害都会得到提升。  tips: 雪球可以摧毁树木。 雪球的行进速度为675。 幻象不会进入雪球，但是米波的克隆体以及巨牙海民控制的其他单位将一同进入雪球。 米波的分身也能卷入雪球，并提升雪球的伤害和速度。 队友可以点击雪球，使自己进入雪球。 ', '[摔角行家 ] 暂时施加一个负面效果的光环，使作用范围内的敌人被攻击时承受额外物理伤害，并且移动速度被减缓。持续5秒。  tips: 影响来自友方英雄、巨牙海民和他控制的所有单位的普通攻击。 ', '[海象飞踢 ] 将目标踢回，造成伤害并且减缓移动速度。 ', '[海象神拳！ ] 巨牙海民为他强力的海象神拳做好准备，下一次攻击将会暴击并将目标打到半空中。目标在落地后会被减速。  tips: 本技能的所有效果无视技能免疫。 ', '[雪球滚滚 ] 向目标发动雪球。  tips: 雪球将摧毁行进路径上的树木。 雪球的行进速度为675。 幻象不会进入雪球，但是米波的克隆体以及巨牙海民控制的其他单位将一同进入雪球。 米波的分身也能卷入雪球，并提升雪球的伤害和速度。 ']","['天赋1：', '+90 金钱/分', '+40% 经验获取', '天赋2：', '+150 雪球伤害', '+350 生命', '天赋3：', '+100% 海象神拳暴击', '-6秒 寒冰碎片冷却', '天赋4：', '-7秒 雪球冷却', '15% 普攻触发海象神拳']"
天怒法师,skywrath_mage,51.5817,http://cdn.max-c.com/app/dota2/skywrath_mage@3x.png,2726385,27,"['空灵挂件', '阿托斯之棍', '奥术鞋', '阿哈利姆神杖', '远行鞋', '慧光', '速度之靴', '以太透镜', '邪恶镰刀']","['[奥法鹰隼 ] 天怒法师施放出缓慢移动的奥术鹰群，对敌方单位造成基于天怒法师智力值的伤害。  tips: 鹰群移动非常缓慢（500移速），提供325码的范围视野。击中目标后，将给予目标区域的视野，持续3.34秒。 奥法鹰隼无法被躲避。 ', '[震荡光弹 ] 天怒法师释放一个远距离的光弹，将击中超大范围内最近的英雄。被击中后英雄附近一定范围内单位将受到伤害，移动速度也会减缓。  tips: 如果作用范围内没有英雄或英雄处于迷雾中，该技能将没有效果。 击中英雄后附近的小兵也会受到相同伤害。 光弹将给予附近的400码视野，击中后将获得目标区域的视野，持续3.34秒。 ', '[上古封印 ] 天怒法师利用上古符文将目标单位封印，目标单位将被沉默，受到法术伤害时将承担额外伤害。  tips: 减少魔法抗性的效果对小兵无效。 ', '[神秘之耀 ] 天怒法师运用终极魔法技能，召唤精准致命的奥术力场毁灭对手。2.4秒期间对范围内所有敌方英雄造成大量伤害，伤害由所有英雄平摊。  可用神杖升级。  tips: 神秘之耀仅对英雄有效，幻象或非英雄单位将不会受到伤害。 技能免疫状态下的敌人不会被均摊伤害。 ']","['天赋1：', '+30% 经验获取', '+20 移动速度', '天赋2：', '+1 奥法鹰隼施放数量', '-8秒 上古封印冷却', '天赋3：', '+15% 上古封印降低魔法抗性', '全屏震荡光弹', '天赋4：', '+600 神秘之耀伤害', '+300 金钱/分']"
亚巴顿,abaddon,52.5361,http://cdn.max-c.com/app/dota2/abaddon@3x.png,1084805,82,"['弗拉迪米尔的祭品', '静谧之鞋', '魔杖', '相位鞋', '刃甲', '圆盾', '辉耀', '压制之刃', '显影之尘']","['[迷雾缠绕 ] 亚巴顿以部分生命为代价，释放带有死亡气息的迷雾缠绕伤害敌方单位或治疗友方单位。 ', '[无光之盾 ] 召唤黑暗能量环绕友方单位，创造一个护盾，护盾在消失前能吸收一定量的伤害。护盾被摧毁后，它会将之前吸收的伤害反馈给周围的敌方单位。施放时移除目标身上的负面魔法效果。  驱散类型：强驱散 ', '[魔霭诅咒 ] 亚巴顿攻击敌人时减缓目标的移动速度。若目标被攻击4次，他们将受寒心诅咒的作用，被沉默和减速，同时所有攻击被减速目标的单位将提升攻击速度。 ', '[回光返照 ] 启动后所有受到的伤害转而治疗你，启动时还将移除大部分的负面效果。只要技能不在冷却过程中，在生命值低于400点时技能会自动启动。  可用神杖升级。  驱散类型：强驱散  tips: 在亚巴顿受到眩晕作用时依然可以开启回光返照，但是受到沉默作用时不可以。 ']","['天赋1：', '+25% 经验获取', '+20 移动速度', '天赋2：', '+60 迷雾缠绕治疗/伤害', '+8 护甲', '天赋3：', '+90 攻击力', '20% 冷却时间减少', '天赋4：', '375 范围型迷雾缠绕', '+225 无光之盾吸收']"
上古巨神,elder_titan,49.8937,http://cdn.max-c.com/app/dota2/elder_titan@3x.png,402319,111,"['魔杖', '圆盾', 'Eul的神圣法杖', '奥术鞋', '静谧之鞋', '灵魂之戒', '阿哈利姆神杖', '动力鞋', '阿托斯之棍']","['[回音重踏 ] 上古巨神与他的星体游魂一起践踏地面，对敌方单位造成伤害并使他们在原地昏迷。上古巨神造成物理伤害，星体游魂造成魔法伤害。  可用神杖升级。 ', '[星体游魂 ] 上古巨神将他的星体游魂，一个从隐藏位面拖出的自己送至前方。灵魂对任何经过的单位造成伤害。当它与巨神合体时，它每伤害过一个单位就能给予若干攻击力、护甲和移动速度加成。  星体游魂拥有回音践踏，回归和自然秩序三个技能。 ', '[自然秩序 ] 使所有元素降低至基础水平，移除附近敌方单位的基础物理护甲和魔法抗性。护甲降低效果以英雄为中心，魔法抗性降低效果以星体游魂为中心。  tips: 没有施放星体游魂时，护甲和魔法抗性降低效果均以上古巨神为中心。 ', '[裂地沟壑 ] 上古巨神向前方放出一道不平坦的裂纹。3秒后裂纹塌陷，范围内的单位将被减速，并受到基于他们自身生命最大值的伤害。其中一半伤害为魔法伤害，另一半为物理伤害。 ', '[星体游魂回归 ] 使星体游魂回归至上古巨神。 ']","['天赋1：', '+200 生命', '+20 移动速度', '天赋2：', '+30 星体游魂触碰英雄攻击力', '+15% 魔法抗性', '天赋3：', '+100 回音重踏伤害', '+70 攻击速度', '天赋4：', '+600 回音重踏唤醒伤害', '-75秒 裂地沟壑冷却']"
军团指挥官,legion_commander,49.6541,http://cdn.max-c.com/app/dota2/legion_commander@3x.png,3910278,10,"['刃甲', '闪烁匕首', '相位鞋', '动力鞋', '黯灭', '黑皇杖', '圆盾', '影刃', '压制之刃']","['[压倒性优势 ] 用敌人的数量反抗他们，造成伤害并提升军团指挥官的移动速度。根据作用单位和英雄的数量决定造成的伤害数值，以及移速加成的数值。对幻象和召唤单位额外造成相当于其生命值一定百分比的伤害。 ', '[强攻 ] 解除指定友方单位的一切负面效果和控制技能，并提升其攻击速度和生命恢复，持续一定时间。  驱散类型：强驱散 ', '[勇气之霎 ] 每当受到攻击，军团指挥官都有几率立即作出反击（此次攻击具有吸血效果）。 ', '[决斗 ] 军团指挥官强制与目标敌方英雄进行决斗，持续短暂的数秒。决斗开始后双方英雄只能进行物理攻击，不能使用任何物品和技能。如果有英雄在决斗期间死亡，赢得决斗的英雄将永久获得额外攻击力。  可用神杖升级。  tips: 如果双方距离超过2000，决斗也会结束。 决斗获胜后自动对自身施放强攻。 ']","['天赋1：', '+25% 经验获取', '+8 力量', '天赋2：', '+50 压倒性优势英雄提供伤害', '+30 攻击速度', '天赋3：', '+10% 勇气之霎触发几率', '+35 移动速度', '天赋4：', '350 范围型强攻', '+40 决斗攻击力加成']"
工程师,techies,48.6834,http://cdn.max-c.com/app/dota2/techies@3x.png,2064747,42,"['灵魂之戒', '阿哈利姆神杖', '奥术鞋', '血精石', '原力法杖', '以太透镜', 'Eul的神圣法杖', '静谧之鞋', '玲珑心']","['[感应地雷 ] 埋布隐形的地雷，不会被真实视域检测到，但是有敌方单位在地雷的400生效范围内会显形。敌人在生效范围内停留超过1.6秒会使地雷爆炸。爆炸在爆炸范围内造成全额伤害，对建筑物造成25%伤害。  tips: 感应地雷的生效范围内不能再放置地雷。 感应地雷不会阻止中立生物产生。 地雷持续时间没有上限，除非爆炸或被摧毁。 隐形单位也能触发地雷。 飞行单位不会触发地雷。 敌方英雄将地雷摧毁可以获得30金钱。 ', '[静滞陷阱 ] 埋设一个隐形的陷阱，当有敌方单位靠近时会马上自动触发，造成缠绕。  tips: 静滞陷阱触发后将摧毁作用范围内的其他静滞陷阱。 隐形单位不会触发静滞陷阱。 静滞陷阱不能阻止中立生物产生。 ', '[爆破起飞！ ] 工程师冲到敌人中间，在相遇时引爆炸药，造成大量范围伤害，并沉默敌人。引爆时会对工程师造成最大生命值50%的伤害。  tips: 若使用本技能后死亡将视为自杀，敌方英雄将不会获得金钱和经验。 即使自杀，工程师依然能获得杀死的敌方英雄对应的经验值。 自杀攻击将摧毁树木。 ', '[集中引爆 ] 直接引爆目标区域内所有遥控炸弹。 ', '[雷区标识 ] 在指定地点放置警示牌，提醒敌人前方有雷。一次只能出现一个标识，放下新的标识后旧标识将消失。持续180秒。  可用神杖升级。 ', '[遥控炸弹 ] 埋设一颗隐形的炸弹，只有在你的控制下经过简短的延迟才会引爆。爆炸对建筑无效。  可用神杖升级。  tips: 敌方英雄摧毁炸弹将获得10金钱。 ']","['天赋1：', '-4秒 感应地雷冷却', '+30% 经验获取', '天赋2：', '+6 魔法恢复', '+300 爆破起飞伤害', '天赋3：', '+150 金钱/分', '+50 移动速度', '天赋4：', '+25 地雷移动速度', '+251 攻击力']"
灰烬之灵,ember_spirit,48.6203,http://cdn.max-c.com/app/dota2/ember_spirit@3x.png,3477982,12,"['漩涡', '魔瓶', '相位鞋', '阿哈利姆神杖', '远行鞋', '韧鼓', '怨灵系带', '林肯法球', '魔杖']","['[炎阳索 ] 灰烬之灵释放出火焰绳索来缠绕住附近的敌人，将他们困于原地并每秒造成一定伤害。  tips: 将随机选取炘周围的单位作为目标。 不能作用于技能免疫或隐身单位。 打断持续施法类技能。 ', '[无影拳 ] 灰烬之灵以燎原之火的速度横冲直撞，攻击目标区域内所有敌人，随后返回所在位置。对英雄造成额外伤害，对非英雄单位造成的伤害较低。  tips: 在施放技能时作用的目标就已决定。 对目标的攻击每次间隔0.2秒。 炘拥有的攻击特效（如致命一击、重击、分裂、连锁闪电等效果）在技能攻击期间都能生效。 施放无影拳时间可以使用其他技能和物品。 ', '[烈火罩 ] 灰烬之灵用火焰之环将自己包裹起来，接下来的魔法伤害将被全部吸收。烈火罩对灰烬之灵周围的敌人造成持续伤害。吸收的伤害超过上限后将失去伤害效果。  tips: 魔法伤害的吸收伤害值计算先于任何伤害减免效果。 ', '[激活残焰 ] 选择残焰，灰烬之灵将向其冲去。 ', '[残焰 ] 灰烬之灵每隔38.0秒创造出一个残焰，最多拥有3个。释放残焰时，目标地点将产生一个残焰像（速度为灰烬之灵移动速度的2.5倍）。灰烬之灵可以使用“激活残焰”技能，向其中一个残焰像冲去。冲刺过程中依次引爆其他残焰像，造成范围伤害，最后到达指定的残焰像。  可用神杖升级。  tips: 升级大招后即拥有3个残焰（上限数量）。 残焰移动至目标地点的速度是本体的2.5倍。 ']","['天赋1：', '+250 烈火罩吸收伤害', '+25 攻击力', '天赋2：', '+1秒 炎阳索持续时间', '+60 烈火罩每秒伤害', '天赋3：', '克敌机先', '+10% 技能增强', '天赋4：', '-20秒 残焰充能时间', '2 无影拳能量点数']"
大地之灵,earth_spirit,43.5722,http://cdn.max-c.com/app/dota2/earth_spirit@3x.png,625638,105,"['静谧之鞋', '魂之灵瓮', '魔杖', '淬毒之珠', '影之灵龛', 'Eul的神圣法杖', '显影之尘', '护腕', '原力法杖']","['[巨石冲击 ] 大地之灵将敌方单位或友方单位作为目标，将其击飞，目标将沿他面朝的方向飞行一段距离。如果大地之灵点地为目标，他将击飞200范围内距离最近的残岩。击飞过程中目标对碰到的所有单位都会造成伤害。如果目标是残岩，被击飞的距离也将加长，而受到伤害的单位还将被减速。  tips: 只有选择残岩为击飞目标时才有减速效果。 如果没有击飞单位或残岩，巨石冲击将不会进入冷却。 ', '[巨石翻滚 ] 大地之灵化身为巨石，经过0.6秒延迟后沿目标位置翻滚，对经过的敌人造成伤害和眩晕，如果撞到敌方英雄或自身被眩晕，翻滚都会中止。如果翻滚过程中经过残岩将会大幅提高翻滚距离和速度，造成的眩晕时间更长。  tips: 翻滚时经过残岩会将其摧毁。 巨石的半径为150。 ', '[地磁之握 ] 大地之灵将残岩拉扯到自己所在的位置，行进路径上被击中的敌人都会被沉默并受到伤害。  tips: 如果目标处于时间结界，决斗或黑洞之中则不起作用。 ', '[残岩 ] 在指定位置召唤一枚巨石残岩。残岩没有视野，不能被摧毁，残岩可以加强大地之灵的技能效果。召唤残岩需要消耗能量，能量将慢慢恢复。 ', '[残岩魔咒 ] 大地之灵对一名英雄施法，使其暂时获得残岩的属性。经过短时间后残岩就会碎裂，释放出英雄，并对周围单位造成伤害。 ', '[磁化 ] 将附近小范围内的敌方单位磁化，使其短时间内受到伤害。被磁化的英雄单位将会引起附近残岩的爆炸，每次爆炸都将摧毁残岩并刷新残岩附近单位身上的磁化时间（若附近单位未被磁化则为其施加一个磁化效果）。该过程可重复数次。如果一个被磁化的英雄受到了地磁之握或巨石冲击的作用被沉默或减速，那么所有被磁化的英雄都会受到同样效果。 ']","['天赋1：', '+40 攻击力', '+10 智力', '天赋2：', '+150 巨石翻滚伤害', '+7 护甲', '天赋3：', '+150 金钱/分', '+15% 技能增强', '天赋4：', '+0.75秒 巨石翻滚眩晕', '地磁之握可作用友军']"
孽主,abyssal_underlord,55.1779,http://cdn.max-c.com/app/dota2/abyssal_underlord@3x.png,899049,91,"['卫士胫甲', '洞察烟斗', '赤红甲', '刃甲', '魔杖', '奥术鞋', '圆盾', '灵魂之戒', '阿托斯之棍']","['[火焰风暴 ] 召唤数波火焰风暴攻击目标区域内的所有单位，风暴还有后续伤害。 ', '[怨念深渊 ] 在目标区域制造致命的深渊；踏入深渊的敌方单位将被缠绕。每个敌方单位每隔3.6秒都会再次受到作用。 ', '[衰退光环 ] 周围所有敌方单位遭到了削弱，损失部分基础攻击力。如果敌人在光环范围内死亡，孽主将获得额外攻击力加成。  可用神杖升级。 ', '[黑暗之门 ] 以友方单位作为目标地点打开黑暗的大门。经过短暂的延迟，孽主和附近所有友方英雄都将传送至目标地点。 黑暗之门在传送生效前可以取消。如果在技能生效前取消，或者目标单位死亡，黑暗之门都会进入冷却。 ', '[取消黑暗之门 ] 取消传送。 ']","['天赋1：', '+30 移动速度', '+18 火焰风暴每波伤害', '天赋2：', '+7 衰退光环永久攻击力加成', '+125 施法距离', '天赋3：', '+25 生命恢复', '+70 攻击速度', '天赋4：', '25% 火焰风暴对建筑伤害', '+0.8秒 怨念深渊缠绕']"
恐怖利刃,terrorblade,47.4536,http://cdn.max-c.com/app/dota2/terrorblade@3x.png,713389,103,"['动力鞋', '幻影斧', '怨灵系带', '斯嘉蒂之眼', '黑皇杖', '蝴蝶', '魔龙枪', '魔杖', '圆盾']","['[倒影 ] 恐怖利刃映出所有敌方英雄的黑暗倒影对其进行反制，目标在短时间内将被自身倒影攻击，移动速度也会被减缓。倒影为无敌状态。  tips: 无法以倒影为目标，而且倒影不受任何伤害。 倒影只会攻击该技能指定的目标。 ', '[惑幻 ] 创造一个恐怖利刃的幻象，可以攻击敌人造成伤害。 ', '[魔化 ] 恐怖利刃变换形态，化身成可怕的恶魔并具备远程攻击能力。任何恐怖利刃的幻象在1200范围内也将魔化。  可用神杖升级。  tips: 幻影斧的冷却时间将由恐怖利刃开启幻影斧时所处的近战或远程形态决定。 ', '[魂断 ] 隔断恐怖利刃以及目标英雄的灵魂并将双方的当前血量进行互换。交换后双方英雄的生命值必定在一定百分比以上。 ']","['天赋1：', '10% 闪避', '+20 移动速度', '天赋2：', '+25 攻击速度', '+250 生命', '天赋3：', '-8秒 倒影冷却', '+10 全属性', '天赋4：', '+300 魔化攻击距离', '-35秒 魂断冷却']"
凤凰,phoenix,50.6746,http://cdn.max-c.com/app/dota2/phoenix@3x.png,1207047,72,"['静谧之鞋', '纷争面纱', '魂之灵瓮', '希瓦的守护', '魔杖', '阿哈利姆神杖', '影之灵龛', '迈达斯之手', 'Eul的神圣法杖']","['[凤凰冲击 ] 凤凰向目标方向进行圆弧状飞行，飞行距离固定，对沿途的敌人造成持续伤害并减缓其移动速度，然后返回初始位置。飞行过程中如果施放超新星将停止飞行。  tips: 凤凰冲击的飞行时间为2秒，可以在飞行途中再次施放来终止飞行。 ', '[烈火精灵 ] 召唤4只围绕凤凰飞行的烈火精灵。每一只烈火精灵都能被单独发射到指定区域。对敌人持续造成伤害并大幅降低他们的攻击速度。  tips: 烈火精灵现在到达目标区域后将获得1秒的视野。 ', '[烈日炙烤 ] 凤凰以损失生命能量为代价，向前射出一束炽热的光线炙烤敌人。光线对敌人造成伤害，并且能治疗友军，伤害和治疗的数值均为基础数值加上目标生命值的一定百分比。随着光线不断炙烤，造成的伤害也会不断增加。  tips: 烈日炙烤的宽度为130，长度为1300。 ', '[切换移动状态 ] 在烈日炙烤时切换为缓慢前行状态。 ', '[超新星 ] 凤凰十分乐意终结自己现在的生命来换取重生。将自己变为一颗燃烧的恒星，灼烧附近一大片区域内的敌人。恒星受到敌方英雄一定次数的攻击后将会被摧毁。经过6秒后恒星将会爆炸，眩晕周围所有敌人。而凤凰的生命和魔法值都会回到满状态，并且所有技能的冷却时间都会刷新。  可用神杖升级。  驱散类型：强驱散 ', '[发动烈火精灵 ] 每一只烈火精灵都能被单独发射到指定区域。对敌人持续造成伤害并大幅降低他们的攻击速度。获得目标区域的视野，持续1秒。 ', '[终止凤凰冲击 ] 马上停止冲击。 ', '[终止烈日炙烤 ] 马上停止烈日炙烤。 ']","['天赋1：', '+8% 技能增强', '+90 金钱/分', '天赋2：', '+500 生命', '+40 烈火精灵每秒伤害', '天赋3：', '+1.25秒 超新星眩晕', '+1400 凤凰冲击施法距离', '天赋4：', '+2% 烈日炙烤最大生命值伤害', '+3 超新星可被攻击次数']"
